Placed Component Report
D:/projects/pcb_brd/ds33m30-m33/DK/ds33m30dk02a0/cadence/worklib/_rc_top_dn_/physical/ds33m30dk02a0.brd
Tue Mar 11 10:12:16 2008
Total Placed Components:  281
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
R01,RES1_SMT0603_5PCT-0.0,ERJ-3GEYA,,,SMDRES0603_IPC,14530.00,6830.00,0.000,NO
R02,RES1_SMT0603_5PCT-1.0M,ERJ-3GEA,,,SMDRES0603_IPC,11170.00,6700.00,90.000,NO
R03,RES1_SMT0603_5PCT-0.0,ERJ-3GEYA,,,SMDRES0603_IPC,14540.00,6610.00,180.000,NO
R04,RES1_SMT0603_5PCT-0.0,ERJ-3GEYA,,,SMDRES0603_IPC,14540.00,6390.00,180.000,NO
RB01,RES1_SMT0603_5PCT-330,ERJ-3GEYA,,,SMDRES0603_IPC,13600.00,10960.00,180.000,YES
RB02,RES1_SMT0603_5PCT-30,ERJ-3GEYJA,,,SMDRES0603_IPC,10859.90,10437.50,90.000,YES
RB03,RES_0L_SMT0603_5PCT-330,ERJ-3GA,,,SMDRES0603_IPC,12090.00,10450.00,0.000,YES
RB04,RES1_SMT0603_5PCT-30,ERJ-3GEYJA,,,SMDRES0603_IPC,11910.00,10210.00,270.000,YES
RB05,RES1_SMT0603_5PCT-2.2K,ERJ-3GEA,,,SMDRES0603_IPC,12570.00,10000.00,180.000,YES
RB06,RES1_SMT0603_5PCT-2.0K,ERJ-3GEA,,,SMDRES0603_IPC,12800.00,9960.00,90.000,YES
RB07,RES1_SMT0603_5PCT-2.0K,ERJ-3GEA,,,SMDRES0603_IPC,13170.00,9990.00,270.000,YES
RB08,RES1_SMT0603_1PCT-100,ERJ-3EKFA,,,SMDRES0603_IPC,11301.00,9821.00,0.000,YES
RB09,RES1_SMT0603_1PCT-1.00K,ERJ-3EA,,,SMDRES0603_IPC,10610.00,9660.00,90.000,YES
RB11,RES1_SMT0603_1PCT-1.00K,ERJ-3EA,,,SMDRES0603_IPC,10610.00,9500.00,90.000,YES
RB12,RES1_SMT0603_5PCT-30,ERJ-3GEYJA,,,SMDRES0603_IPC,11630.00,9515.00,0.000,YES
RB13,RES1_SMT0603_5PCT-30,ERJ-3GEYJA,,,SMDRES0603_IPC,11900.00,9480.00,180.000,YES
RB14,RES1_SMT0603_5PCT-30,ERJ-3GEYJA,,,SMDRES0603_IPC,11880.00,9380.00,0.000,YES
RB15,RES1_SMT0603_1PCT-9.76K,ERJ-3EA,,,SMDRES0603_IPC,13490.00,9030.00,90.000,YES
RB16,RES1_SMT0603_5PCT-2.0K,ERJ-3GEA,,,SMDRES0603_IPC,14260.00,8630.00,180.000,YES
RB17,RES1_0L_SMT0603_5PCT-10K,ERJ-3A,,,SMDRES0603_IPC,11075.00,7511.00,270.000,YES
RB18,RES1_SMT0603_5PCT-330,ERJ-3GEYA,,,SMDRES0603_IPC,14210.00,7100.00,0.000,YES
RB19,RES1_SMT0603_5PCT-0.0,ERJ-3GEYA,,,SMDRES0603_IPC,11910.00,6900.00,180.000,YES
RB20,RES_0L_SMT0603_5PCT-330,ERJ-3GA,,,SMDRES0603_IPC,13819.50,6169.24,180.000,YES
RB21,RES1_0L_SMT0603_5PCT-10K,ERJ-3A,,,SMDRES0603_IPC,14529.00,6026.00,270.000,YES
RB22,RES_0L_SMT0603_5PCT-330,ERJ-3GA,,,SMDRES0603_IPC,13807.50,5958.24,180.000,YES
RP01,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,12900.00,9950.00,90.000,NO
RP02,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,12428.00,9770.00,0.000,NO
RP03,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,12428.39,9609.54,180.000,NO
RP04,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,11686.00,9529.00,180.000,NO
RP05,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,11686.57,9369.34,0.000,NO
RP06,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,12428.97,9450.54,180.000,NO
RP07,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,12431.57,9282.58,0.000,NO
RP08,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,13048.32,8985.57,90.000,NO
RPB01,RPACK4_A0603_5PCT-330,EXB-V8V3A,,,SMDRESPAK0603_8PCAVE,13110.00,11650.00,0.000,YES
RPB02,RPACK4_A0603_5PCT-1K,EXB-V8V10A,,,SMDRESPAK0603_8PCAVE,10980.00,11650.00,90.000,YES
RPB03,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12600.00,11630.00,0.000,YES
RPB04,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,11410.00,11040.00,270.000,YES
RPB05,RPACK4_A0603_5PCT-2.2K,EXB-V8VA,,,SMDRESPAK0603_8PCAVE,14230.00,10430.00,0.000,YES
RPB06,RPACK4_A0603_5PCT-2.2K,EXB-V8VA,,,SMDRESPAK0603_8PCAVE,12977.00,10197.00,180.000,YES
RPB07,RPACK4_A0603_5PCT-330,EXB-V8V3A,,,SMDRESPAK0603_8PCAVE,13300.00,10030.00,90.000,YES
RPB08,RPACK4_A0603_5PCT-1K,EXB-V8V10A,,,SMDRESPAK0603_8PCAVE,13047.46,9990.75,270.000,YES
RPB09,RPACK4_U1_RP4-0603_2PCT_50,CN1A,,,SMDRESPAK0603_8PCAVE,13646.00,9645.00,180.000,YES
RPB10,RPACK4_U1_RP4-0603_2PCT_50,CN1A,,,SMDRESPAK0603_8PCAVE,13647.00,9411.00,180.000,YES
RPB11,RPACK4_A0603_5PCT-1K,EXB-V8V10A,,,SMDRESPAK0603_8PCAVE,12550.00,9090.00,0.000,YES
RPB12,RPACK4_A0603_5PCT-30,EXB-V8V30A,,,SMDRESPAK0603_8PCAVE,11360.00,9030.00,90.000,YES
RPB13,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,11150.00,9030.00,90.000,YES
RPB14,RPACK4_A0603_5PCT-2.2K,EXB-V8VA,,,SMDRESPAK0603_8PCAVE,13267.46,8975.37,270.000,YES
RPB15,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,11280.00,8870.00,90.000,YES
RPB17,RPACK4_A0603_5PCT-1K,EXB-V8V10A,,,SMDRESPAK0603_8PCAVE,10567.00,8592.00,270.000,YES
RPB18,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,11799.00,8040.00,270.000,YES
RPB19,RPACK4_A0603_5PCT-1K,EXB-V8V10A,,,SMDRESPAK0603_8PCAVE,10982.00,7737.00,270.000,YES
RPB20,RPACK4_A0603_5PCT-330,EXB-V8V3A,,,SMDRESPAK0603_8PCAVE,10716.00,7643.00,90.000,YES
RPB21,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12382.54,6874.11,90.000,YES
RPB22,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12177.46,6590.47,270.000,YES
RPB23,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,14044.00,5999.00,0.000,YES
RPB24,RPACK4_A0603_5PCT-330,EXB-V8V3A,,,SMDRESPAK0603_8PCAVE,12930.00,5910.00,90.000,YES
RPB25,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,14271.00,5714.00,90.000,YES
RPB26,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12262.54,5354.91,90.000,YES
RPB27,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12482.54,5350.09,90.000,YES
RPB28,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12482.54,5114.95,90.000,YES
RPB29,RPACK4_A0603_5PCT-10K,EXB-V8V1A,,,SMDRESPAK0603_8PCAVE,12272.54,5109.77,90.000,YES
SW01,PUSHBUTTON_MOM_SWITCH-NA,EVQPAA,,,SW_MOM_4P_IPC,13360.48,7321.00,0.000,NO
TP01,TINYTESTPOINT_TINYTESTPOINT-NAA,,,TESTPOINT,13095.00,8840.00,0.000,NO
U1,AT25160A_U_SOIC-3.3V,AT26DF081A,,,SOIC8_IPC,13440.00,7480.00,0.000,YES
U01,SFP_HOST_U_CONN_THRU-HOLE-NA,SA,,,CONN_SFP20P_RECEPTACLE,11353.35,10385.00,270.000,NO
U02,DP83865_U_QFP-NA,DP83865DVH,,,QFP128_NATIONAL,13043.00,9493.00,180.000,NO
U03,DS33M30_U_BGA-NA,DS33M30,,,BGAFE144P_0P8MM,11298.00,9583.00,90.000,NO
U04,MT46V16M16BG75_TSSOP2-NA,NA,,,TSOP66_1016X2222,10661.00,9577.00,180.000,NO
U05,MMC2107_TQFPANDTP-NA,MMC2107,,,MOTO_TQFP144_IPC,12122.00,6633.00,90.000,NO
U06,CY62128V_CY62128V-CY62128V,NA,,,SOIC32PW,10916.40,5515.00,0.000,NO
U07,CP2101_QFN28-NA,CP2101,,,QFN28P_SIL_LABS,14321.00,5976.00,90.000,NO
UB01,MAX1793_U_TSSOP16-2.5V,MAX1793A,,,TSSOP16P_44X50_EP,14439.00,11262.00,90.000,YES
UB02,MAX1793_U_TSSOP16-1.8V,MAX1793A,,,TSSOP16P_44X50_EP,14070.00,11276.00,270.000,YES
UB03,MAX811_U1_SOT143-3.08V,MAX811TA,,,SOT143_MAXIM,13770.00,7310.00,0.000,YES
UB04,MAX1793_U_TSSOP16-3.3V,MAX1793A,,,TSSOP16P_44X50_EP,14199.90,6824.00,0.000,YES
UB05,MAX1793_U_TSSOP16-3.3V,MAX1793A,,,TSSOP16P_44X50_EP,14200.00,6580.00,0.000,YES
UB06,NC7SZ86_U_BUFFER-NA,NC7SZ86-GNA,,,SOT235,13283.00,6563.00,0.000,YES
UB07,MAX1793_U_TSSOP16-3.3V,MAX1793A,,,TSSOP16P_44X50_EP,14200.00,6340.00,0.000,YES
UB08,MAX3233E_MAX3233E-NA,NA-SOIC20A,,,SOIC20PW_IPC,13460.00,6060.00,270.000,YES
UB09,CY62128V_CY62128V-CY62128V,NA,,,SOIC32PW,11140.00,5520.00,180.000,YES
XB01,XTAL_AXIALTH-8.0MHZ,EC1-8.000M,,,XTAL2,11110.00,6600.00,270.000,YES
YB01,OSC1_THROUGH HOLE-19.44MHZ_3.3A,,,OSC_4P_510X510H251_IPC,10310.00,10890.00,180.000,YES
YB02,OSC2_THROUGH HOLE-25.000MHZ_3.A,,,OSC_4P_510X510H251_IPC,12708.00,10548.00,0.000,YES
YB03,OSC1_THROUGH HOLE-77.76MHZ_3.3A,,,OSC_4P_510X510H251_IPC,10310.00,10310.00,180.000,YES
